reviews,date,country,seat_type,recommended,stars,route,type_of_traveller,Verified,Contonation
i had the most fantastic ba flight today. the cabin crew in my seat zone 6d were of the best i have experienced. although the 777 had the old style rear/front seating - it was comfortable and felt open and spacious. ba have done great things with the menu - it was nice not to have to eat breakfast food on the pre-arrival meal into hkg at 1730pm local time having left london at 2200 the night before. the dinner offering was equally ample and delicious. the inflight entertainment had a great collection of tv and current films and the inflight map was first rate. previously not a huge ba fan - but after this 12 hour flight i could only recommend it without reserve. i flew the new ba suite in j class on a recent delhi to london flight and enjoyed that product (although i felt it slightly more cramped ) but i think ba have stepped up with really comfortable bedding and food and very friendly crew who engaged throughout the flight in the best way. couldn't recommend ba more on this flight today,1st August 2023,Hong Kong,Business Class,yes,5,Heathrow to Las Vegas,Family Leisure,Yes,Positive
couldn’t book in online. arrived at check in to find we had been bumped off due to overselling. no ba staff available. very helpful gatwick staff got us a bus to lhr and a flight to toulouse. had knock in effect on our car booking and sharing as the rest of family had been able yo board original flight. airlines should be legally stopped from selling seats twice.,31st July 2023,United Kingdom,Economy Class,no,3,Rome to Heathrow,Solo Leisure,Yes,Positive
"london heathrow to mumbai in a boeing 787-8 in business class. the lounge near terminal 5, gate b36 at heathrow was outstanding in its service and offerings. it provides us just the right frame to relax in before boarding as the departure was delayed by almost 2 hours. the 787-8 on our flight featured the older club world seating. not the best in class but comfortable enough. i hear that the new club suites configuration is far superior. british airways onboard service was outstanding in every respect. all in all, a very comfortable flight. one minor irritant: for some reason this aircraft was not fitted with wifi. we got into mumbai at 8 am, a civilized time to arrive.",31st July 2023,Iceland,Business Class,yes,3,Gatwick to Venice,Solo Leisure,Yes,Positive
"keflavík, iceland to london heathrow on an a320 in business class. the journey got off on an unpleasant note - the business class line at keflavík was so long that it looked like an economy class check-in. it took over 30 mins to get through. there was no lounge access offered. the boarding process was well handled. british airways business class seats for the club europe product are terrible - exactly the same as economy with the middle seat left vacant. you don't even get extra pitch. what made the overall product tolerable were the good onboard service and the inflight wifi. also the fact that the flight leaves at a convenient mid-morning time of 10:40 am.",31st July 2023,Iceland,Business Class,yes,5,London to Luanda,Couple Leisure,Yes,Neutral
"terrible experience with british airways. i booked a flight with ba to travel from gibraltar to london heathrow on may 10, 2023. my flight was scheduled to leave at 4:00 p.m. in the afternoon. i had originally planned on leaving my luggage at heathrow upon arrival and travelling to visit and overnight at my cousin's place. en route to gib airport a few hours prior to departure, i checked my flight details and found out that my flight had been cancelled. i had a connecting flight booked with westjet from london heathrow to vancouver the following day and i had to make that flight, so it was imperative that i got to london. i checked the ba website and couldn't find any other flights with them that would work, so unfortunately i made the mistake of requesting a refund. i managed to find a flight out of malaga that got me into london just after 10:00 p.m. so i booked that and then called british airways as i wanted to discuss compensation. that's when they advised me that because i had requested a refund (they used the phrase ""abandoned"" travel with them), they were not prepared to do anything for me. apparently, i should have called them first, and then they would have made the arrangements. of course they don't explain that on their website - they just ask if you want a refund and then proceed. and even when i plead my case with the agent at malaga airport and then followed up with customer relations several times via email, they flat out refused to budge. i had used a travel voucher to cover the cost of my flight and had used avios to cover the cost of my checked baggage, so in other words no out of pocket costs for the trip. once this incident happened, i ended up spending 660 euros in airfare and checked baggage charges to get to london from malaga (i.e., different airport than the one i had originally booked from). and because the luggage storage facility at heathrow had closed by the time i eventually arrived, i ended up booking a night at a hotel since i couldn't travel by train to my cousin's place any longer (3 bags in tow) and i didn't want to put him out and have him drive to the airport to pick me up. this cost me another £125 in room and meal costs. all ba ended up doing to compensate me was to give me 5,000 free avios - a mere pittance compared to my out of pocket expenses. despite trying to explain to them why i requested the refund instead of calling them first, they wouldn't budge. very easy for them to say what i should have done since they work there and know the rules and they weren't the ones scrambling to find alternative travel arrangements within a few hours. i pointed out that on their website they should simply instruct customers to call them when this situation happens, and that way they would never encounter this problem. my feeling is that they put the refund option out there in the hope that customers will make the mistake i did so they can then wash their hands of the situation and ultimately save money. i've been an executive club member for years and they simply didn't care. they said there was nothing they could do. i'm sure if one of the ba executive's friends or family members had gone through this, staff there would have been given the instruction to make things right. i used to be a fan of ba but they have really gone downhill in my opinion. once i used up my remaining avios and travel credit, i will cancel my executive club membership and never fly with them again.",29th July 2023,Canada,Economy Class,no,5,Denver to Heathrow,Family Leisure,Yes,Neutral
an airline that lives in their past glory and heading a future of crisis is british airways. i am not joking we are a family of 7 all in business class heading for a norwegian and arctic cruise and they lost 10 of our bags! they will never see me on any of their flights ever a disaster of an airline,26th July 2023,Qatar,Business Class,no,3,BKK to LHR,Business,Yes,Negative
"check-in desk rude and dismissive. flight late but seems the new norm. one world emerald, club world check-in. staff uncommunicative, did not know what baggage allowance entitled to, once raised (politely) became argumentative and accusatory.",26th July 2023,United Kingdom,Economy Class,no,3,London to Tampa,Couple Leisure,Yes,Neutral
"i chose british airways especially because i was going to travel with my niece and nephew, and wanted everything to work well. what a disaster! first, it took me two hours to do the check-in online due to a technical problem. i also had to spend more than 20 minutes in a call to a uk number from my spanish cell phone because that’s the only service they provide on weekends. then, at the airport, when there was the boarding time, we had to wait with the rest of the people for almost two hours standing on the line without knowing what was going on. they just told us to wait. finally we could access the plane. after 40 minutes inside, they told us to leave the plane again and told us the flight had been cancelled. we had to take our luggage and queue again for a couple of hours. then, do the check in again and wait for another flight to take off, which was again delayed! we spent almost 12 hours at the airport. no information was provided, no solutions were offered. we had to seat in the last raw (when i had paid to seat on the first half of the plane). no money was refunded no apologizes or compensation was given. i also had pre-purchased food and they couldn’t provide the service. all in all, terrible. never again!",25th July 2023,Spain,Economy Class,no,1,London to Sydney,Couple Leisure,Yes,Negative
"a simple story with an unfortunate outcome that really could happen to anyone. my partner and i recently started working after studying purchased two tickets to travel from london city airport to frankfurt. when we purchased the tickets, i mistakenly entered my name twice (e.g. mr john smith and ms john smith). little did we know that our 1 simple mistake would cost us over 300 pounds. upon arriving at the airport we were told there was no way to change the name (apparently they can only change 3 letters where there has been a typo?) and i had no other option to purchase the last remaining ticket if i wanted to board the flight - the price: almost seven times (!) higher than my original ticket. zero empathy was shown. zero alternative was offered. trusting ba's staff and under the pretence that there was apparently no other way we could board the flight we bought this ticket. immediately after i purchased the ticket i contacted ba's 'commercial change booking team' and informed them of our situation. the service representative apologised and told me they could have changed the name at the cost of a small fee. he offered to cancel my original ticket and issue me a partial refund then, advising me that i had a claim to the difference and i should contact customer support to do so. i told this person several times i wanted to claim the cost of the new ticket and even asked him explicitly if by accepting this offer, i would be denied from claiming the cost of the new ticket. he said no, i could claim the difference. fair enough - we accepted this offer and lodged a ticket with customer support for the difference. two days later, british airways customer response informed us that we were unable to lodge a claim because we had 'voluntarily accepted the cancellation before the flight'. they've continued to send generic emails until this week, when they just stopped responding. so in short, british airways misled and deceived my partner into accepting a lowball offer to waive our right to claim a refund. it keeps me up at night thinking how they can do this and get away with it so easily.",21st July 2023,Germany,Economy Class,no,7,BLR to LHR,Business,Yes,Neutral
"flight was delayed due to the inbound flight arriving late. there was no announcement to inform of the delay nor were the sceens updated. when ready to board we were requested to take our seats quickly to help reduce the delay, which people did. the pilot then announced he had received the documents for the wrong flight from ground staff, so we had to wait while they returned to get the right paperwork. after this was resolved, the pilot announced there would be a delay as there was only two push back tractors and we had to wait again. so after rushing to sit quickly, we sat the the aircraft at the gate for nearly one hour, which is longer than the flight takes ! of course ams is not bas home base and it uses contracted staff here, but it should require a better level of service, it was embarrassing hearing the pilot apologise at every step of the way. it’ll be eurostar for me next time.",21st July 2023,United Kingdom,Economy Class,no,3,Heathrow to Las Vegas,Family Leisure,Yes,Neutral
