index,date,state_abbreviation,state_name,doses_distributed_cumulative,doses_administered_cumulative,new_doses_distributed,new_doses_administered,new_doses_distributed_7_day_rolling_avg,new_doses_administered_7_day_rolling_avg
0,2020-12-14,AK,Alaska,4875.0,0.0,,,,
1,2020-12-15,AK,Alaska,12675.0,0.0,7800.0,0.0,,
2,2020-12-16,AK,Alaska,26325.0,0.0,13650.0,0.0,,
3,2020-12-17,AK,Alaska,26325.0,2.0,0.0,2.0,,
4,2020-12-18,AK,Alaska,26325.0,2.0,0.0,0.0,,
5,2020-12-19,AK,Alaska,26325.0,1607.0,0.0,1605.0,,
6,2020-12-20,AK,Alaska,26325.0,4239.0,0.0,2632.0,,
7,2020-12-21,AK,Alaska,36900.0,5125.0,10575.0,886.0,4575.0,732.14
8,2020-12-22,AK,Alaska,42175.0,5615.0,5275.0,490.0,4214.29,802.14
9,2020-12-23,AK,Alaska,45150.0,6822.0,2975.0,1207.0,2689.29,974.57
10,2020-12-24,AK,Alaska,45250.0,8578.0,100.0,1756.0,2703.57,1225.14
11,2020-12-25,AK,Alaska,45250.0,10612.0,0.0,2034.0,2703.57,1515.71
12,2020-12-26,AK,Alaska,45250.0,11427.0,0.0,815.0,2703.57,1402.86
13,2020-12-27,AK,Alaska,45250.0,11427.0,0.0,0.0,2703.57,1026.86
14,2020-12-28,AK,Alaska,48050.0,11647.0,2800.0,220.0,1592.86,931.71
15,2020-12-29,AK,Alaska,48250.0,11780.0,200.0,133.0,867.86,880.71
16,2020-12-30,AK,Alaska,54775.0,12907.0,6525.0,1127.0,1375.0,869.29
17,2020-12-31,AK,Alaska,54975.0,14550.0,200.0,1643.0,1389.29,853.14
18,2021-01-01,AK,Alaska,54975.0,16504.0,0.0,1954.0,1389.29,841.71
19,2021-01-02,AK,Alaska,54975.0,18401.0,0.0,1897.0,1389.29,996.29
20,2021-01-03,AK,Alaska,54975.0,18684.0,0.0,283.0,1389.29,1036.71
21,2021-01-04,AK,Alaska,75475.0,18937.0,20500.0,253.0,3917.86,1041.43
22,2021-01-05,AK,Alaska,81550.0,19050.0,6075.0,113.0,4757.14,1038.57
23,2021-01-06,AK,Alaska,82725.0,20106.0,1175.0,1056.0,3992.86,1028.43
24,2021-01-07,AK,Alaska,86625.0,21830.0,3900.0,1724.0,4521.43,1040.0
25,2021-01-08,AK,Alaska,92775.0,24562.0,6150.0,2732.0,5400.0,1151.14
26,2021-01-09,AK,Alaska,92875.0,28539.0,100.0,3977.0,5414.29,1448.29
27,2021-01-10,AK,Alaska,92875.0,33263.0,0.0,4724.0,5414.29,2082.71
28,2021-01-11,AK,Alaska,124250.0,35027.0,31375.0,1764.0,6967.86,2298.57
29,2021-01-12,AK,Alaska,137900.0,35838.0,13650.0,811.0,8050.0,2398.29
30,2021-01-13,AK,Alaska,140075.0,38680.0,2175.0,2842.0,8192.86,2653.43
31,2021-01-14,AK,Alaska,147975.0,42596.0,7900.0,3916.0,8764.29,2966.57
32,2021-01-15,AK,Alaska,149650.0,49039.0,1675.0,6443.0,8125.0,3496.71
33,2021-01-16,AK,Alaska,149650.0,54193.0,0.0,5154.0,8110.71,3664.86
34,2021-01-17,AK,Alaska,149650.0,60438.0,0.0,6245.0,8110.71,3882.14
35,2021-01-18,AK,Alaska,149650.0,64730.0,0.0,4292.0,3628.57,4243.29
36,2021-01-19,AK,Alaska,152625.0,66331.0,2975.0,1601.0,2103.57,4356.14
37,2021-01-20,AK,Alaska,150350.0,68293.0,-2275.0,1962.0,1467.86,4230.43
38,2021-01-21,AK,Alaska,154325.0,71907.0,3975.0,3614.0,907.14,4187.29
39,2021-01-22,AK,Alaska,155500.0,81096.0,1175.0,9189.0,835.71,4579.57
40,2021-01-23,AK,Alaska,155700.0,88344.0,200.0,7248.0,864.29,4878.71
41,2021-01-24,AK,Alaska,155700.0,94257.0,0.0,5913.0,864.29,4831.29
42,2021-01-25,AK,Alaska,155700.0,97031.0,0.0,2774.0,864.29,4614.43
43,2021-01-26,AK,Alaska,162925.0,98149.0,7225.0,1118.0,1471.43,4545.43
44,2021-01-27,AK,Alaska,170575.0,101597.0,7650.0,3448.0,2889.29,4757.71
45,2021-01-28,AK,Alaska,178075.0,105858.0,7500.0,4261.0,3392.86,4850.14
46,2021-01-29,AK,Alaska,192350.0,110396.0,14275.0,4538.0,5264.29,4185.71
47,2021-01-30,AK,Alaska,193150.0,115268.0,800.0,4872.0,5350.0,3846.29
48,2021-01-31,AK,Alaska,193150.0,119590.0,0.0,4322.0,5350.0,3619.0
49,2021-02-01,AK,Alaska,193150.0,122020.0,0.0,2430.0,5350.0,3569.86
50,2021-02-02,AK,Alaska,196975.0,123443.0,3825.0,1423.0,4864.29,3613.43
51,2021-02-03,AK,Alaska,229975.0,125765.0,33000.0,2322.0,8485.71,3452.57
52,2021-02-04,AK,Alaska,240325.0,129936.0,10350.0,4171.0,8892.86,3439.71
