index,date,doses_distributed_cumulative,doses_administered_cumulative,new_doses_distributed,new_doses_administered,new_doses_distributed_7_day_rolling_avg,new_doses_administered_7_day_rolling_avg
0,2020-12-13,13650.0,0.0,,,,
1,2020-12-14,482625.0,509.0,468975.0,509.0,,
2,2020-12-15,1458600.0,12638.0,975975.0,12129.0,,
3,2020-12-16,1656525.0,51634.0,197925.0,38996.0,,
4,2020-12-17,2847975.0,127342.0,1191450.0,75708.0,,
5,2020-12-18,2847975.0,254142.0,0.0,126800.0,,
6,2020-12-19,2847975.0,441650.0,0.0,187508.0,,
7,2020-12-20,2850250.0,651503.0,2275.0,209853.0,405228.57,93071.86
8,2020-12-21,4289025.0,801460.0,1438775.0,149957.0,543771.43,114421.57
9,2020-12-22,6733350.0,991182.0,2444325.0,189722.0,753535.71,139792.0
10,2020-12-23,9496475.0,1359355.0,2763125.0,368173.0,1119992.86,186817.29
11,2020-12-24,9584275.0,1697791.0,87800.0,338436.0,962328.57,224349.86
12,2020-12-25,9584275.0,2033936.0,0.0,336145.0,962328.57,254256.29
13,2020-12-26,9584275.0,2190414.0,0.0,156478.0,962328.57,249823.43
14,2020-12-27,9584275.0,2252406.0,0.0,61992.0,962003.57,228700.43
15,2020-12-28,10898900.0,2408626.0,1314625.0,156220.0,944267.86,229595.14
16,2020-12-29,13118675.0,2723303.0,2219775.0,314677.0,912189.29,247445.86
17,2020-12-30,14270550.0,3164852.0,1151875.0,441549.0,682010.71,257928.14
18,2020-12-31,14785550.0,3738130.0,515000.0,573278.0,743039.29,291477.0
19,2021-01-01,14786525.0,4172658.0,975.0,434528.0,743178.57,305531.71
20,2021-01-02,14786525.0,4463060.0,0.0,290402.0,743178.57,324663.71
21,2021-01-03,14786525.0,4648339.0,0.0,185279.0,743178.57,342276.14
22,2021-01-04,16761825.0,4887811.0,1975300.0,239472.0,837560.71,354169.29
23,2021-01-05,19792825.0,5224925.0,3031000.0,337114.0,953450.0,357374.57
24,2021-01-06,20601975.0,5824980.0,809150.0,600055.0,904489.29,380018.29
25,2021-01-07,21036425.0,6555680.0,434450.0,730700.0,892982.14,402507.14
26,2021-01-08,22070100.0,7426145.0,1033675.0,870465.0,1040510.71,464783.86
27,2021-01-09,22076700.0,8216629.0,6600.0,790484.0,1041453.57,536224.14
28,2021-01-10,22079900.0,8943724.0,3200.0,727095.0,1041910.71,613626.43
29,2021-01-11,24474675.0,9363164.0,2394775.0,419440.0,1101835.71,639336.14
30,2021-01-12,27335600.0,9880022.0,2860925.0,516858.0,1077539.29,665013.86
31,2021-01-13,28783800.0,10867507.0,1448200.0,987485.0,1168832.14,720361.0
32,2021-01-14,30223825.0,11961374.0,1440025.0,1093867.0,1312485.71,772242.0
33,2021-01-15,31036550.0,12917607.0,812725.0,956233.0,1280921.43,784494.57
34,2021-01-16,31040550.0,14058650.0,4000.0,1141043.0,1280550.0,834574.43
35,2021-01-17,31040550.0,14914759.0,0.0,856109.0,1280092.86,853005.0
36,2021-01-18,31481100.0,15462809.0,440550.0,548050.0,1000917.86,871377.86
37,2021-01-19,36227450.0,16083963.0,4746350.0,621154.0,1270264.29,886277.29
38,2021-01-20,35990150.0,16525281.0,-237300.0,441318.0,1029478.57,808253.43
39,2021-01-21,37960000.0,17546374.0,1969850.0,1021093.0,1105167.86,797857.14
40,2021-01-22,39892400.0,19107959.0,1932400.0,1561585.0,1265121.43,884336.0
41,2021-01-23,41411550.0,20537990.0,1519150.0,1430031.0,1481571.43,925620.0
42,2021-01-24,41411550.0,21848655.0,0.0,1310665.0,1481571.43,990556.57
43,2021-01-25,41418325.0,22734243.0,6775.0,885588.0,1419603.57,1038776.29
44,2021-01-26,44394075.0,23540994.0,2975750.0,806751.0,1166660.71,1065290.14
45,2021-01-27,47230950.0,24652634.0,2836875.0,1111640.0,1605828.57,1161050.43
46,2021-01-28,48386275.0,26193682.0,1155325.0,1541048.0,1489467.86,1235329.71
47,2021-01-29,49216500.0,27884661.0,830225.0,1690979.0,1332014.29,1253814.57
48,2021-01-30,49932850.0,29577902.0,716350.0,1693241.0,1217328.57,1291416.0
49,2021-01-31,49933250.0,31123299.0,400.0,1545397.0,1217385.71,1324949.14
50,2021-02-01,49936450.0,32222402.0,3200.0,1099103.0,1216875.0,1355451.29
51,2021-02-02,52657675.0,32780860.0,2721225.0,558458.0,1180514.29,1319980.86
52,2021-02-03,55943800.0,33878254.0,3286125.0,1097394.0,1244692.86,1317945.71
53,2021-02-04,57489675.0,35203710.0,1545875.0,1325456.0,1300485.71,1287146.86
54,2021-02-05,58380300.0,36819212.0,890625.0,1615502.0,1309114.29,1276364.43
55,2021-02-06,59304600.0,39037964.0,924300.0,2218752.0,1338821.43,1351437.43
56,2021-02-07,59307800.0,41210937.0,3200.0,2172973.0,1339221.43,1441091.14
57,2021-02-08,59307800.0,42417617.0,0.0,1206680.0,1338764.29,1456459.29
58,2021-02-09,62898775.0,43206190.0,3590975.0,788573.0,1463014.29,1489332.86
59,2021-02-10,65972575.0,44769970.0,3073800.0,1563780.0,1432682.14,1555959.43
60,2021-02-11,68285575.0,46390270.0,2313000.0,1620300.0,1542271.43,1598080.0
61,2021-02-12,69014725.0,48410558.0,729150.0,2020288.0,1519203.57,1655906.57
62,2021-02-13,69883625.0,50641884.0,868900.0,2231326.0,1511289.29,1657702.86
63,2021-02-14,70057800.0,52884356.0,174175.0,2242472.0,1535714.29,1667631.29
64,2021-02-15,70135900.0,54260570.0,78100.0,1376214.0,1546871.43,1691850.43
65,2021-02-16,71657975.0,55220364.0,1522075.0,959794.0,1251314.29,1716310.57
66,2021-02-17,72423125.0,56281827.0,765150.0,1061463.0,921507.14,1644551.0
67,2021-02-18,73377450.0,57737767.0,954325.0,1455940.0,727410.71,1621071.0
68,2021-02-19,74108895.0,59585043.0,731445.0,1847276.0,727738.57,1596355.0
69,2021-02-20,74979165.0,61289500.0,870270.0,1704457.0,727934.29,1521088.0
70,2021-02-21,75204965.0,63090634.0,225800.0,1801134.0,735309.29,1458039.71
71,2021-02-22,75205940.0,64177474.0,975.0,1086840.0,724291.43,1416700.57
72,2021-02-23,82114370.0,65032083.0,6908430.0,854609.0,1493770.71,1401674.14
73,2021-02-24,88669035.0,66464947.0,6554665.0,1432864.0,2320844.29,1454731.43
74,2021-02-25,91673010.0,68274117.0,3003975.0,1809170.0,2613651.43,1505192.86
75,2021-02-26,94300910.0,70454064.0,2627900.0,2179947.0,2884573.57,1552717.29
76,2021-02-27,96402290.0,72806180.0,2101380.0,2352116.0,3060446.43,1645240.0
77,2021-02-28,96402490.0,75236003.0,200.0,2429823.0,3028217.86,1735052.71
78,2021-03-01,96402490.0,76899987.0,0.0,1663984.0,3028078.57,1817501.86
79,2021-03-02,102353940.0,78631601.0,5951450.0,1731614.0,2891367.14,1942788.29
80,2021-03-03,107028890.0,80540474.0,4674950.0,1908873.0,2622836.43,2010789.57
81,2021-03-04,109905530.0,82572848.0,2876640.0,2032374.0,2604645.71,2042675.86
82,2021-03-05,114133115.0,85008094.0,4227585.0,2435246.0,2833172.14,2079147.14
83,2021-03-06,116355405.0,87912323.0,2222290.0,2904229.0,2850445.0,2158020.43
84,2021-03-07,116363405.0,90351750.0,8000.0,2439427.0,2851559.29,2159392.43
85,2021-03-08,116378615.0,92089852.0,15210.0,1738102.0,2853732.14,2169980.71
86,2021-03-09,123232775.0,93692598.0,6854160.0,1602746.0,2982690.71,2151571.0
87,2021-03-10,127869155.0,95721290.0,4636380.0,2028692.0,2977180.71,2168688.0
88,2021-03-11,131131470.0,98203893.0,3262315.0,2482603.0,3032277.14,2233006.43
89,2021-03-12,133337525.0,101128005.0,2206055.0,2924112.0,2743487.14,2302844.43
90,2021-03-13,135846665.0,105703501.0,2509140.0,4575496.0,2784465.71,2541596.86
91,2021-03-14,135847835.0,107060274.0,1170.0,1356773.0,2783490.0,2386932.0
92,2021-03-15,135847835.0,109081860.0,0.0,2021586.0,2781317.14,2427429.71
93,2021-03-16,142918525.0,110737856.0,7070690.0,1655996.0,2812250.0,2435036.86
94,2021-03-17,147590615.0,113037627.0,4672090.0,2299771.0,2817351.43,2473762.43
95,2021-03-18,151108445.0,115730008.0,3517830.0,2692381.0,2853853.57,2503730.71
96,2021-03-19,154199235.0,118313818.0,3090790.0,2583810.0,2980244.29,2455116.14
97,2021-03-20,156734555.0,121441497.0,2535320.0,3127679.0,2983984.29,2248285.14
98,2021-03-21,156734555.0,124481412.0,0.0,3039915.0,2983817.14,2488734.0
99,2021-03-22,156734555.0,126509736.0,0.0,2028324.0,2983817.14,2489696.57
100,2021-03-23,164300795.0,128217029.0,7566240.0,1707293.0,3054610.0,2497024.71
101,2021-03-24,169223125.0,130473853.0,4922330.0,2256824.0,3090358.57,2490889.43
102,2021-03-25,173525335.0,133305295.0,4302210.0,2831442.0,3202412.86,2510755.29
103,2021-03-26,177501775.0,136684688.0,3976440.0,3379393.0,3328934.29,2624410.0
104,2021-03-27,180644125.0,140180735.0,3142350.0,3496047.0,3415652.86,2677034.0
105,2021-03-28,180646465.0,143462691.0,2340.0,3281956.0,3415987.14,2711611.29
106,2021-03-29,180646565.0,145812835.0,100.0,2350144.0,3416001.43,2757585.57
107,2021-03-30,189451285.0,147602345.0,8804720.0,1789510.0,3592927.14,2769330.86
108,2021-03-31,195581725.0,150273292.0,6130440.0,2670947.0,3765514.29,2828491.29
109,2021-04-01,200496635.0,153631404.0,4914910.0,3358112.0,3853042.86,2903729.86
110,2021-04-02,204719335.0,157606463.0,4222700.0,3975059.0,3888222.86,2988825.0
111,2021-04-03,207866645.0,161688422.0,3147310.0,4081959.0,3888931.43,3072526.71
112,2021-04-04,207891295.0,165053746.0,24650.0,3365324.0,3892118.57,3084436.43
113,2021-04-05,207891395.0,167187795.0,100.0,2134049.0,3892118.57,3053565.71
114,2021-04-06,219194215.0,168592075.0,11302820.0,1404280.0,4248990.0,2998532.86
115,2021-04-07,225294435.0,171476655.0,6100220.0,2884580.0,4244672.86,3029051.86
116,2021-04-08,229398685.0,174879716.0,4104250.0,3403061.0,4128864.29,3035473.14
117,2021-04-09,233591955.0,178837781.0,4193270.0,3958065.0,4124660.0,3033045.43
118,2021-04-10,237791735.0,183467709.0,4199780.0,4629928.0,4275012.86,3111326.71
119,2021-04-11,237796105.0,187047131.0,4370.0,3579422.0,4272115.71,3141912.14
120,2021-04-12,237796305.0,189692045.0,200.0,2644914.0,4272130.0,3214892.86
121,2021-04-13,245364805.0,192282781.0,7568500.0,2590736.0,3738655.71,3384386.57
122,2021-04-14,250998265.0,194791836.0,5633460.0,2509055.0,3671975.71,3330740.14
123,2021-04-15,255400665.0,198317040.0,4402400.0,3525204.0,3714568.57,3348189.14
124,2021-04-16,258502815.0,202282923.0,3102150.0,3965883.0,3558694.29,3349306.0
125,2021-04-17,264499715.0,205871913.0,5996900.0,3588990.0,3815425.71,3200600.57
126,2021-04-18,264505725.0,209406814.0,6010.0,3534901.0,3815660.0,3194240.43
127,2021-04-19,264505725.0,211581309.0,0.0,2174495.0,3815631.43,3127037.71
128,2021-04-20,272030795.0,213388238.0,7525070.0,1806929.0,3809427.14,3015065.29
129,2021-04-21,277938875.0,215951909.0,5908080.0,2563671.0,3848658.57,3022867.57
130,2021-04-22,282183915.0,218947643.0,4245040.0,2995734.0,3826178.57,2947229.0
131,2021-04-23,286095185.0,222322230.0,3911270.0,3374587.0,3941767.14,2862758.14
132,2021-04-24,290685655.0,225640460.0,4590470.0,3318230.0,3740848.57,2824078.14
133,2021-04-25,290692005.0,228661408.0,6350.0,3020948.0,3740897.14,2750656.29
134,2021-04-26,290692005.0,230768454.0,0.0,2107046.0,3740897.14,2741020.71
135,2021-04-27,297543635.0,232407669.0,6851630.0,1639215.0,3644691.43,2717061.57
136,2021-04-28,301857885.0,234639414.0,4314250.0,2231745.0,3417001.43,2669643.57
137,2021-04-29,305478495.0,237360493.0,3620610.0,2721079.0,3327797.14,2630407.14
138,2021-04-30,308774155.0,240159677.0,3295660.0,2799184.0,3239852.86,2548206.71
139,2021-05-01,312508205.0,243463471.0,3734050.0,3303794.0,3117507.14,2546144.43
140,2021-05-02,312509575.0,245591469.0,1370.0,2127998.0,3116795.71,2418580.14
141,2021-05-03,312509575.0,246780203.0,0.0,1188734.0,3116795.71,2287392.71
142,2021-05-04,318474035.0,247769049.0,5964460.0,988846.0,2990057.14,2194482.86
143,2021-05-05,321549335.0,249566820.0,3075300.0,1797771.0,2813064.29,2132486.57
144,2021-05-06,324610185.0,251973752.0,3060850.0,2406932.0,2733098.57,2087608.43
145,2021-05-07,327124625.0,254779333.0,2514440.0,2805581.0,2621495.71,2088522.29
146,2021-05-08,329840055.0,257347205.0,2715430.0,2567872.0,2475978.57,1983390.57
147,2021-05-09,329843825.0,259716989.0,3770.0,2369784.0,2476321.43,2017931.43
148,2021-05-10,329843825.0,261599381.0,0.0,1882392.0,2476321.43,2117025.43
149,2021-05-11,334081065.0,263132561.0,4237240.0,1533180.0,2229575.71,2194787.43
150,2021-05-12,337089765.0,264680844.0,3008700.0,1548283.0,2220061.43,2159146.29
151,2021-05-13,339165445.0,266596486.0,2075680.0,1915642.0,2079322.86,2088962.0
152,2021-05-14,341865945.0,268438666.0,2700500.0,1842180.0,2105902.86,1951333.29
153,2021-05-15,344503395.0,270832342.0,2637450.0,2393676.0,2094762.86,1926448.14
154,2021-05-16,344503495.0,272925411.0,100.0,2093069.0,2094238.57,1886917.43
155,2021-05-17,344503595.0,274411901.0,100.0,1486490.0,2094252.86,1830360.0
156,2021-05-18,346672525.0,275535207.0,2168930.0,1123306.0,1798780.0,1771806.57
157,2021-05-19,349210095.0,277290173.0,2537570.0,1754966.0,1731475.71,1801332.71
158,2021-05-20,351955515.0,279397250.0,2745420.0,2107077.0,1827152.86,1828680.57
159,2021-05-21,354914965.0,281595351.0,2959450.0,2198101.0,1864145.71,1879526.43
160,2021-05-22,357250375.0,283941223.0,2335410.0,2345872.0,1820997.14,1872697.29
161,2021-05-23,357250375.0,285720586.0,0.0,1779363.0,1820982.86,1827882.14
162,2021-05-24,357250475.0,286890900.0,100.0,1170314.0,1820982.86,1782714.14
163,2021-05-25,359004955.0,287788872.0,1754480.0,897972.0,1761775.71,1750523.57
164,2021-05-26,359849035.0,289212304.0,844080.0,1423432.0,1519848.57,1703161.57
165,2021-05-27,361250445.0,290724607.0,1401410.0,1512303.0,1327847.14,1618193.86
166,2021-05-28,362375765.0,292099778.0,1125320.0,1375171.0,1065828.57,1500632.43
167,2021-05-29,366314625.0,293705050.0,3938860.0,1605272.0,1294892.86,1394832.43
168,2021-05-30,366316945.0,294928850.0,2320.0,1223800.0,1295224.29,1315466.29
169,2021-05-31,366316845.0,295891325.0,-100.0,962475.0,1295195.71,1285775.0
170,2021-06-01,366317045.0,296404240.0,200.0,512915.0,1044584.29,1230766.86
171,2021-06-02,366977535.0,296912892.0,660490.0,508652.0,1018357.14,1100084.0
172,2021-06-03,368375195.0,297720928.0,1397660.0,808036.0,1017821.43,999474.43
173,2021-06-04,369159075.0,299120522.0,783880.0,1399594.0,969044.29,1002963.43
174,2021-06-05,371520975.0,300268730.0,2361900.0,1148208.0,743764.29,937668.57
175,2021-06-06,371520735.0,301638578.0,-240.0,1369848.0,743398.57,958532.57
176,2021-06-07,371520735.0,302851917.0,0.0,1213339.0,743412.86,994370.29
177,2021-06-08,372100285.0,303923667.0,579550.0,1071750.0,826177.14,1074203.86
178,2021-06-09,372495525.0,304753476.0,395240.0,829809.0,788284.29,1120083.43
179,2021-06-10,372830865.0,305687618.0,335340.0,934142.0,636524.29,1138098.57
180,2021-06-11,373413945.0,306509795.0,583080.0,822177.0,607838.57,1055610.43
181,2021-06-12,374397205.0,308112728.0,983260.0,1602933.0,410890.0,1120571.14
182,2021-06-13,374398105.0,309322545.0,900.0,1209817.0,411052.86,1097709.57
