year,rice_production,wheat_production,vegetable_production
1996,568.7,578.6,542.7
1997,577.1,596.2,551.8
1998,578.8,584.8,572.8
1999,611.2,585,615.2
2000,598.7,588.2,686.6
2001,600.2,592,705.3
2002,571.1,550.1,727.3
2003,586.9,634.9,758.2
2004,607.3,626.9,768.5
2005,634.2,614.5,789.7
2006,640.7,606.7,820.3
2007,654,606.7,855.7
2008,684.4,681,889.5
2009,680.3,684.2,916.0
2010,694.5,640.3,938.8
2011,719.5,697.7,974.8
2012,727.7,672.7,999.8
2013,731.8,711,1021.6
2014,730.8,733.5,1056.0
2015,732,737,1084.2
2016,734.1,749.5,1087.8
2017,747.4,771.7,1109.3
2018,759.1,734,1111.0
2019,749.2,765.8,1129.7
2020,756.7,760.9,1148.4
2021,787.3,770.9,1157.3
