index,PassengerId,HomePlanet,Cabin Deck,Cabin Number,Cabin Side,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported
0,0001_01,Europa,B,0,P,False,TRAPPIST-1e,27.0,False,0.0,0.0,0.0,0.0,0.0,False
1,0002_01,Earth,F,0,S,False,TRAPPIST-1e,27.0,False,109.0,9.0,25.0,549.0,44.0,True
2,0003_01,Europa,A,0,S,False,TRAPPIST-1e,27.0,True,43.0,3576.0,0.0,6715.0,49.0,False
3,0003_02,Europa,A,0,S,False,TRAPPIST-1e,27.0,False,0.0,1283.0,371.0,3329.0,193.0,False
4,0004_01,Earth,F,1,S,False,TRAPPIST-1e,27.0,False,303.0,70.0,151.0,565.0,2.0,True
5,0005_01,Earth,F,0,P,False,PSO J318.5-22,27.0,False,0.0,483.0,0.0,291.0,0.0,True
6,0006_01,Earth,F,2,S,False,TRAPPIST-1e,27.0,False,42.0,1539.0,3.0,0.0,0.0,True
7,0006_02,Earth,G,0,S,True,TRAPPIST-1e,27.0,False,0.0,0.0,0.0,0.0,0.0,True
8,0007_01,Earth,F,3,S,False,TRAPPIST-1e,27.0,False,0.0,785.0,17.0,216.0,0.0,True
9,0008_01,Europa,B,1,P,True,55 Cancri e,27.0,False,0.0,0.0,0.0,0.0,0.0,True
10,0008_02,Europa,B,1,P,True,TRAPPIST-1e,27.0,False,0.0,0.0,0.0,0.0,0.0,True
11,0008_03,Europa,B,1,P,False,55 Cancri e,27.0,False,39.0,7295.0,589.0,110.0,124.0,True
12,0009_01,Mars,F,1,P,False,TRAPPIST-1e,27.0,False,73.0,0.0,1123.0,0.0,113.0,True
13,0010_01,Earth,G,1,S,False,TRAPPIST-1e,27.0,False,719.0,1.0,65.0,0.0,24.0,False
14,0011_01,Earth,F,2,P,False,TRAPPIST-1e,27.0,False,8.0,974.0,12.0,2.0,7.0,True
15,0012_01,Earth,T,4,P,False,TRAPPIST-1e,27.0,False,32.0,0.0,876.0,0.0,0.0,False
16,0014_01,Mars,F,3,P,False,55 Cancri e,27.0,False,1286.0,122.0,0.0,0.0,0.0,False
17,0015_01,Earth,F,4,P,False,55 Cancri e,27.0,False,0.0,1.0,0.0,0.0,637.0,False
18,0016_01,Mars,F,5,P,True,TRAPPIST-1e,27.0,False,0.0,0.0,0.0,0.0,0.0,True
19,0017_01,Earth,G,0,P,False,TRAPPIST-1e,27.0,False,0.0,0.0,0.0,0.0,0.0,True
20,0017_02,Earth,F,6,P,False,55 Cancri e,27.0,False,412.0,0.0,1.0,0.0,679.0,False
21,0020_01,Earth,E,0,S,True,TRAPPIST-1e,27.0,False,0.0,0.0,0.0,0.0,0.0,False
22,0020_02,Earth,E,0,S,True,55 Cancri e,27.0,False,0.0,0.0,0.0,0.0,0.0,False
23,0020_03,Earth,E,0,S,True,55 Cancri e,27.0,False,0.0,0.0,0.0,0.0,0.0,False
24,0020_04,Earth,E,0,S,False,TRAPPIST-1e,27.0,False,0.0,0.0,0.0,0.0,0.0,True
25,0020_05,Earth,E,0,S,True,PSO J318.5-22,27.0,False,0.0,0.0,0.0,0.0,0.0,False
26,0020_06,Earth,E,0,S,False,TRAPPIST-1e,27.0,False,0.0,0.0,0.0,0.0,0.0,False
27,0022_01,Mars,D,0,P,False,TRAPPIST-1e,27.0,False,980.0,2.0,69.0,0.0,0.0,False
28,0024_01,Europa,C,2,S,True,TRAPPIST-1e,27.0,False,0.0,0.0,0.0,0.0,0.0,True
29,0025_01,Earth,F,6,S,False,TRAPPIST-1e,27.0,False,0.0,225.0,0.0,998.0,0.0,False
30,0026_01,Europa,C,0,P,False,55 Cancri e,27.0,False,22.0,6073.0,0.0,1438.0,328.0,False
31,0028_01,Mars,F,8,P,False,TRAPPIST-1e,27.0,False,1125.0,0.0,136.0,48.0,0.0,False
32,0030_01,Earth,G,4,S,False,TRAPPIST-1e,27.0,False,0.0,850.0,81.0,437.0,453.0,False
33,0031_01,Mars,F,9,P,False,TRAPPIST-1e,27.0,False,214.0,0.0,1411.0,0.0,1229.0,True
34,0031_02,Mars,F,9,P,False,TRAPPIST-1e,27.0,False,0.0,0.0,0.0,0.0,0.0,True
35,0031_03,Mars,F,9,P,False,TRAPPIST-1e,27.0,False,0.0,0.0,1750.0,990.0,0.0,True
36,0034_01,Europa,D,1,S,True,55 Cancri e,27.0,False,0.0,0.0,0.0,0.0,0.0,True
37,0035_01,Mars,D,1,P,False,55 Cancri e,27.0,False,784.0,964.0,0.0,951.0,0.0,False
38,0036_01,Earth,F,8,S,False,55 Cancri e,27.0,False,0.0,492.0,48.0,20.0,401.0,False
39,0038_01,Earth,F,10,S,False,55 Cancri e,27.0,False,554.0,195.0,0.0,2606.0,0.0,False
40,0039_01,Earth,G,1,P,True,55 Cancri e,27.0,False,0.0,0.0,0.0,0.0,0.0,False
41,0041_01,Earth,G,2,P,True,TRAPPIST-1e,27.0,False,0.0,0.0,0.0,0.0,0.0,True
